instructor_user_id,charge_amount,charge_application_fee,event_complete_timestamp,credit_amount,credit_application_fee,product_kind,created_at
1001,0,0,NULL,0,0,1,1608641940
1001,0,0,1608721450,0,0,1,1608719933
1003,10,0.8,1608720704,0,0,1,1608720278
1003,0,0,1608724075,0,0,1,1608721651
1003,0,0,1608724075,0,0,1,1608721684
1003,0,0,1608724075,0,0,1,1608721944
1003,0,0,1608724075,0,0,1,1608722072
1003,0,0,1608728943,0,0,1,1608727444
1003,10,0.8,1609255326,0,0,1,1609253463
1003,10,0.8,1609255326,0,0,1,1609253546
1011,0,0,1609325587,0,0,1,1609322908
1011,0,0,1609325587,0,0,1,1609323569
1011,0,0,1609325587,0,0,1,1609323613
1011,0,0,1609325587,0,0,1,1609324470
1016,0,0,1609331152,0,0,1,1609328260
1016,0,0,1609331152,0,0,1,1609328276
1016,0,0,1609331152,0,0,1,1609328332
1015,100,0,NULL,0,0,1,1609328582
1003,95.81,11.5,NULL,0,0,4,1609328644
1015,212.9,25.55,NULL,0,0,4,1609328794
1022,0,0,1609338951,0,0,1,1609336423
1022,0,0,1609338951,0,0,1,1609336431
1022,0,0,1609338951,0,0,1,1609336452
1022,0,0,1609338951,0,0,1,1609336591
1025,0,0,1609392975,0,0,1,1609391229
1025,0,0,1609392975,0,0,1,1609391251
1025,0,0,1609392975,0,0,1,1609391269
1025,0,0,1609392975,0,0,1,1609391294
1029,0,0,1609399233,0,0,1,1609396777
1029,0,0,NULL,0,0,1,1609396842
1029,0,0,1609399233,0,0,1,1609396858
1029,0,0,1609399233,0,0,1,1609397021
1029,0,0,1609399233,0,0,1,1609397601
1010,0,0,1609401574,0,0,1,1609400760
1003,1000,120,1609411776,0,0,2,1609411776
1029,0,0,NULL,0,0,1,1609412230
1029,0,0,NULL,0,0,1,1609412586
1029,0,0,NULL,0,0,1,1609412607
1029,0,0,NULL,0,0,1,1609412968
1029,0,0,NULL,0,0,1,1609412973
1029,0,0,NULL,0,0,1,1609413022
1010,105.48,12.66,NULL,0,0,4,1609573882
1010,0,0,NULL,0,0,1,1609573932
1010,0,0,NULL,0,0,1,1609573955
1010,0,0,NULL,0,0,1,1609574086
1010,0,0,NULL,0,0,1,1609574154
1010,0,0,NULL,0,0,1,1609574217
1010,0,0,NULL,0,0,1,1609575647
1010,0,0,NULL,0,0,1,1609575688
1010,0,0,NULL,0,0,1,1609575702
1010,0,0,NULL,0,0,1,1609576487
1010,0,0,NULL,0,0,1,1609660859
1010,0,0,NULL,0,0,1,1609661200
1010,101.97,12.24,NULL,0,0,4,1609661724
1010,76.97,9.24,NULL,25,3,4,1609663666
1010,0,0,NULL,0,0,1,1609663858
1010,1,0.12,NULL,26.1,3.13,4,1609742081
1010,0,0,NULL,0,0,1,1609742081
1010,1,0.12,NULL,19,2.28,4,1609742246
1010,0,0,NULL,0,0,1,1609742246
1010,1,0.12,NULL,19,2.28,4,1609742492
1012,36.9,4.43,NULL,0,0,4,1609935290
1012,36.9,4.43,NULL,0,0,4,1609935728
1028,20,0,NULL,0,0,4,1609936376
1028,1,0.12,NULL,15.78,1.89,4,1609936427
1039,25.16,3.02,NULL,0,0,4,1609937604
1028,0,0,1610001054,0,0,1,1610000557
1011,14.29,1.72,NULL,0,0,4,1610010360
1011,17.14,0,NULL,12.86,0,4,1610012486
1011,1,0.12,NULL,23.19,2.78,4,1610013175
1039,0,0,1610020034,0,0,1,1610019866
1012,0,0,1610021753,0,0,1,1610020790
1012,77,6.16,1610021766,0,0,3,1610021766
1012,0,0,1610022549,0,0,1,1610022127
1011,24.19,2.9,NULL,0,0,4,1610027275
1035,1,0.12,NULL,12.71,1.53,4,1610031861
1035,1,0.12,NULL,15.13,1.82,4,1610032163
1035,0,0,1610034958,0,0,1,1610034480
1043,0,0,1610089496,0,0,1,1610088369
1042,1,0.12,NULL,14.48,1.74,4,1610094406
1042,0,0,1610097223,10,0.8,1,1610096880
1043,15.48,1.86,NULL,0,0,4,1610102439
1039,0,0,NULL,20,0,1,1610104801
1039,7.88,0.95,NULL,15.35,1.84,4,1610110259
1039,1,0.12,NULL,11.86,1.42,4,1610116759
1012,29.81,3.58,NULL,0,0,4,1610355732
1043,10,1.2,NULL,0,0,4,1610356041
1043,10,1.2,NULL,0,0,4,1610356122
1012,29.81,3.58,NULL,0,0,4,1610360060
1039,10,1.2,NULL,0,0,4,1610361131
1039,10,1.2,NULL,0,0,4,1610361497
1039,10,1.2,NULL,0,0,4,1610365602
1012,29.81,3.58,NULL,0,0,4,1610366970
1028,13.55,1.63,NULL,0,0,4,1610367389
1012,1,0.12,NULL,21.36,2.56,4,1610368557
1052,0,0,1610369290,10,0.8,1,1610368720
1052,1,0.08,NULL,9,0.72,4,1610369982
1052,10,0.8,NULL,0,0,4,1610370050
1048,13.55,1.63,NULL,0,0,4,1610370726
1004,0,0,1610373319,0,0,1,1610371562
1052,0,0,1610374396,0,0,1,1610374005
1048,13.55,1.63,NULL,0,0,4,1610374217
1012,11.68,1.4,NULL,28.32,3.4,4,1610374420
1012,40,4.8,NULL,0,0,4,1610375089
1052,0,0,1610375789,0,0,1,1610375289
1052,10,0.8,1610375789,0,0,1,1610375664
1052,10,0.8,NULL,0,0,4,1610375726
1023,12,1.44,NULL,0,0,4,1610376786
1048,1,0.12,NULL,12.55,1.51,4,1610376866
1048,1,0.12,NULL,12.55,1.51,4,1610376886
1052,0,0,1610378685,0,0,1,1610378355
1041,5,0,NULL,0,0,1,1610412968
1048,0,0,1610429338,0,0,1,1610428738
1048,0,0,1610429338,0,0,1,1610428774
